rd_x,rd_y,z,tx,ty,tz,height,angle,m_r,m_g,m_b,radius,prob,n_points,in_bld,debug,tilecode
123819.0,485202.04,-3.1,123819.06,485201.78,0.56,3.67,4.06,11735.53,11916.92,11879.86,0.305,0.07,525,0,0_0,2476_9704
123832.43,485215.29,-3.0,123832.26,485215.16,-1.41,1.61,7.45,14945.98,15488.0,15781.93,0.117,0.06,460,0,0_0,2476_9704
123823.71,485218.04,-2.92,123823.48,485218.09,0.68,3.6,3.7,33045.24,32684.94,31523.13,0.133,0.16,1857,0,0_0,2476_9704
123848.1,485225.41,-2.86,123847.84,485225.61,3.27,6.14,3.02,19258.89,23957.18,18391.13,1.07,0.13,9199,0,0_0,2476_9704
123840.24,485225.57,-2.8,123840.24,485225.57,-1.73,1.07,0.0,14642.91,14161.45,14759.27,0.126,0.07,352,0,0_3,2476_9704
123849.33,485226.58,-2.78,123849.33,485226.58,-1.0,1.78,0.0,22407.69,23281.31,20882.19,0.066,0.13,366,0,0_3,2476_9704
123835.51,485229.54,-2.7,123835.46,485229.5,5.41,8.11,0.4,32479.41,28574.83,34830.64,0.838,0.15,4198,0,0_0,2476_9704
123837.38,485236.81,-2.66,123837.37,485236.81,3.41,6.06,0.09,18604.39,23347.86,18851.2,1.054,0.12,9722,0,0_0,2476_9704
123837.42,485237.81,-2.58,123837.66,485238.0,0.3,2.9,6.07,19032.14,15991.43,26222.18,0.212,0.12,941,0,0_0,2476_9704
123825.72,485249.21,-2.27,123825.54,485249.17,3.61,5.88,1.73,16775.23,21883.7,15718.95,0.565,0.08,2097,0,1_0,2476_9704
123075.9,485052.8,0.49,123076.45,485053.1,1.77,1.43,26.07,9536.3,10268.79,10472.97,0.634,0.07,1744,0,0_0,2461_9701
123085.12,485056.58,0.43,123085.32,485056.59,3.06,2.63,4.3,13116.21,13475.38,13482.58,0.352,0.12,1536,0,0_0,2461_9701
123068.65,485058.49,0.45,123068.88,485058.38,4.14,3.7,3.8,11707.42,16553.63,10434.56,0.302,0.13,4183,0,0_0,2461_9701
123096.45,485062.93,0.37,123096.19,485062.91,4.04,3.69,4.1,10895.23,14489.5,9597.56,0.286,0.16,2672,0,0_0,2461_9701
123064.6,485066.58,0.36,123064.39,485066.64,1.87,1.52,8.13,14177.17,13773.55,15838.55,0.264,0.11,3584,0,0_0,2461_9701
123054.8,485070.82,0.48,123054.83,485070.73,4.66,4.18,1.31,15176.15,15484.56,15965.56,0.431,0.23,5501,0,0_0,2461_9701
123071.79,485072.1,0.47,123071.79,485072.1,1.89,1.43,0.0,16242.26,16841.04,16559.01,0.121,0.12,177,0,0_3,2461_9701
123061.24,485073.5,0.45,123061.29,485073.36,3.26,2.82,3.1,38728.79,38707.6,37471.28,0.36,0.13,3563,0,0_0,2461_9701
123064.59,485077.44,0.47,123064.78,485077.19,4.23,3.77,4.79,21361.76,21858.11,20943.59,0.339,0.17,14968,0,0_0,2461_9701
123081.62,485079.94,0.55,123081.52,485079.56,3.57,3.04,7.48,6767.23,8534.26,7396.51,0.248,0.16,1303,0,0_0,2461_9701
123066.17,485087.03,0.39,123066.55,485087.11,10.87,10.49,2.13,27616.8,25270.57,30140.81,0.807,0.18,8378,0,0_0,2461_9701
123077.38,485099.51,0.51,123077.36,485099.44,4.58,4.08,1.04,8378.07,9103.07,9703.08,0.377,0.16,1336,0,0_0,2461_9701
122432.42,485360.82,0.73,122432.46,485360.77,4.95,4.22,0.81,12266.78,15688.72,10667.65,0.295,0.19,5801,0,0_0,2448_9707
122418.66,485362.33,0.49,122418.57,485362.27,4.68,4.19,1.45,12773.24,15730.96,12802.9,0.322,0.2,5816,0,0_0,2448_9707
122448.08,485366.83,0.21,122448.25,485366.65,4.89,4.69,3.04,11735.31,12585.42,11904.51,0.505,0.25,3609,0,0_0,2448_9707
122421.68,485370.47,0.63,122421.68,485370.47,2.19,1.57,0.0,17986.87,16340.77,19689.03,0.083,0.08,379,0,0_3,2448_9707
122432.92,485371.92,0.64,122432.76,485371.93,7.75,7.11,1.26,32756.56,30239.21,35422.13,0.671,0.09,4148,0,0_0,2448_9707
122446.9,485376.47,0.63,122446.9,485376.47,7.03,6.41,0.0,26757.51,25525.89,28038.12,0.219,0.06,418,0,0_3,2448_9707
122446.66,485377.18,0.63,122446.62,485377.38,7.6,6.97,1.72,29781.13,28474.54,30178.32,0.293,0.15,2976,0,0_0,2448_9707
122411.91,485384.37,0.55,122411.84,485384.5,1.75,1.21,7.0,21963.77,22126.3,23033.81,0.283,0.11,1810,0,0_0,2448_9707
